name,obs,nmiss,unique,mean,std_dev,median,mode,min,max,p1,p5,p25,p75,p95,p99,skewness,
open_il_12m,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
open_il_24m,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
mths_since_rcnt_il,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
total_bal_il,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
il_util,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
open_rv_12m,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
open_rv_24m,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
max_bal_bc,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
all_util,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
total_rev_hi_lim,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
inq_fi,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
total_cu_tl,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
inq_last_12m,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
acc_open_past_24mths,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
avg_cur_bal,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
bc_open_to_buy,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
bc_util,0,39717,0,-,-,-,"Series([], dtype: object)",-,-,-,-,-,-,-,-,-,
chargeoff_within_12_mths,39661,56,1,-,-,-,"0    0
dtype: object",-,-,-,-,-,-,-,-,-,
